"SECS","KM","CAD","HR","ID","PACE","WATTS","LRBALANCE","LTE","RTE","LPS","RPS","LPPB","RPPB","LPPE","RPPE","LPPPB","RPPPB","LPPPE","RPPPE","ALT","LAT","LON","SLOPE","RVERT","RCON","TEMP","KPH"
322,1.28498,89.5,164,"2026-03-28_YIUCB",4.10610166707728,468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.8,43.586479306,-79.754627291,-2.40702,9.11,227,13,14.6124
323,1.28936,89.5,163,"2026-03-28_YIUCB",4.10610166707728,468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198,43.586458435,-79.754672889,-1.46259,9.11,227,13,14.6124
324,1.29367,89.5,163,"2026-03-28_YIUCB",4.09701737135365,471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.2,43.586446449,-79.754726784,-0.555096,9.11,227,13,14.6448
325,1.2985,89.5,163,"2026-03-28_YIUCB",4.08697073728952,474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.4,43.586434798,-79.75478135,0.409947,9.11,227,13,14.6808
326,1.30238,89,163,"2026-03-28_YIUCB",4.07797080172906,478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.6,43.586431781,-79.754831474,1.36594,9.29,229,13,14.7132
327,1.30621,88.5,163,"2026-03-28_YIUCB",4.06901041666667,481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.6,43.586431194,-79.75487682,1.8502,9.32,228,13,14.7456
328,1.31058,88.5,163,"2026-03-28_YIUCB",4.06901041666667,482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.8,43.586443348,-79.754933482,2.30787,9.32,228,13,14.7456
329,1.31491,89,164,"2026-03-28_YIUCB",4.05910050332846,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.8,43.58644888,-79.754982265,2.30787,9.32,228,13,14.7816
330,1.3194,89,164,"2026-03-28_YIUCB",4.05910050332846,484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.8,43.586465895,-79.755037669,2.30787,9.32,228,13,14.7816
331,1.32359,88.5,164,"2026-03-28_YIUCB",4.05022276225192,486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.8,43.586473774,-79.755081842,2.30787,9.32,228,13,14.814
332,1.32768,88.5,164,"2026-03-28_YIUCB",4.03258327284458,492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.8,43.586496237,-79.755128529,2.30787,9.36,227,13,14.8788
333,1.33129,88.5,164,"2026-03-28_YIUCB",4.03258327284458,494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,43.586505458,-79.755165996,2.40526,9.36,227,13,14.8788
334,1.33555,88.5,165,"2026-03-28_YIUCB",4.03258327284458,498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,43.586528173,-79.755216036,1.94123,9.36,227,13,14.8788
335,1.33931,88.5,165,"2026-03-28_YIUCB",4.04138376980278,499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.2,43.58653932,-79.755254844,2.05906,9.32,228,13,14.8464
336,1.3435,89,166,"2026-03-28_YIUCB",4.04138376980278,501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.4,43.5865617,-79.755302369,2.02092,9.32,228,13,14.8464
337,1.34726,89.5,166,"2026-03-28_YIUCB",4.04138376980278,501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.4,43.58657201,-79.755341429,2.02092,9.14,226,13,14.8464
338,1.35117,89.5,166,"2026-03-28_YIUCB",4.05022276225192,501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.6,43.586591959,-79.755390379,2.07477,9.14,226,13,14.814
339,1.3554,89.5,166,"2026-03-28_YIUCB",4.05910050332846,501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.6,43.586603274,-79.755433714,2.07477,9.14,226,13,14.7816
340,1.35971,89.5,166,"2026-03-28_YIUCB",4.05910050332846,503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.6,43.586629174,-79.755481994,2.07477,9.14,226,13,14.7816
341,1.36374,89.5,165,"2026-03-28_YIUCB",4.05910050332846,505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.8,43.586644765,-79.755519293,2.57105,9.14,226,13,14.7816
342,1.36786,89.5,165,"2026-03-28_YIUCB",4.05022276225192,508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,43.586670833,-79.755561286,3.05648,9.14,226,13,14.814
343,1.37176,89.5,164,"2026-03-28_YIUCB",4.05022276225192,511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,43.586689692,-79.755596826,2.50247,9.14,226,13,14.814
344,1.37563,89.5,164,"2026-03-28_YIUCB",4.05022276225192,514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,43.586715005,-79.755633958,2.50247,9.14,226,13,14.814
345,1.37953,89.5,164,"2026-03-28_YIUCB",4.05910050332846,516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,43.586736547,-79.755669245,1.97055,9.14,226,13,14.7816
346,1.38314,89,164,"2026-03-28_YIUCB",4.05910050332846,521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.2,43.586759765,-79.755704701,2.04724,9.32,228,13,14.7816
347,1.38697,89,164,"2026-03-28_YIUCB",4.06901041666667,525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.4,43.586782228,-79.755739402,2.56943,9.32,228,13,14.7456
348,1.39079,88.5,164,"2026-03-28_YIUCB",4.08697073728952,528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.4,43.586805697,-79.755775025,2.05792,9.29,229,13,14.6808
349,1.39491,88.5,164,"2026-03-28_YIUCB",4.08697073728952,534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.6,43.58683034,-79.755813246,2.54336,9.29,229,13,14.6808
350,1.39834,88,164,"2026-03-28_YIUCB",4.09701737135365,537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.8,43.58684811,-79.755846942,3.12645,9.47,231,13,14.6448
351,1.40219,88.5,164,"2026-03-28_YIUCB",4.09701737135365,539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.8,43.58686479,-79.75589036,2.63017,9.29,229,13,14.6448
352,1.40555,88.5,164,"2026-03-28_YIUCB",4.12541254125412,538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,43.586871747,-79.755929336,2.73998,9.25,230,13,14.544
353,1.40942,88.5,165,"2026-03-28_YIUCB",4.12541254125412,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,43.586883062,-79.755978873,2.73998,9.25,230,13,14.544
354,1.41322,88.5,165,"2026-03-28_YIUCB",4.15420405450316,555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,43.586884403,-79.75602095,2.73998,9.21,231,13,14.4432
355,1.41701,88.5,165,"2026-03-28_YIUCB",4.15420405450316,556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,43.58689354,-79.756071996,2.73998,9.21,231,13,14.4432
356,1.42066,88.5,165,"2026-03-28_YIUCB",4.16354400866017,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,43.586894462,-79.756113235,2.18596,9.21,231,13,14.4108
357,1.42477,88.5,165,"2026-03-28_YIUCB",4.17292605575029,548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,43.586903179,-79.756166208,1.66377,9.21,231,13,14.3784
